ID,English,Frensh
Home,Home,Accueil
About,About,A propos
Contact,Contact,Contact
Products,Products,Produits
AddProduct,Add Product,Ajouter un produit
Login,Login,Connexion
Register,Register,Inscription
Logout,logout,déconnexion
Welcome,Welcome,Bienvenue
Unknown,Unknown user,Utilisateur inconnu
French,French,Français
English,English,Anglais
Cart,Cart,Panier
Orders,Orders,Commandes
All Orders,All Orders,Toutes les commandes
Order,Order,Commande
Order Date,Order Date,Date de commande
Product Name,Product Name,Nom du produit
Price,Price,Prix
Total Price,Total Price,Prix total
Order Time,Order time,Heure de commande
Username,Username,Nom d'utilisateur
Your Shopping Cart,Your Shopping Cart,Votre panier d'achat
Your cart is empty,Your cart is empty!,Votre panier est vide!
Your Order History,Your Order History,Votre historique de commandes
Remove,Remove,Retirer
Login,Login,Connexion
Finalize Order,Finalize Order,Finaliser la commande
Clear Cart,Clear Cart,Vider le panier#
Login to add products to your cart,Login to add products to your cart,Connectez-vous pour ajouter des produits à votre panier
Add Product,Add Product,Ajouter un produit
Submit,Submit,Soumettre
ABOUT US,ABOUT US,À PROPOS DE NOUS
Log in to your account,Log in to your account,Connectez-vous à votre compte
WELCOME TO THE WORLD OF CAKES,WELCOME TO THE WORLD OF CAKES,BIENVENUE DANS LE MONDE DES GÂTEAUX
Perfect for every celebration.,Perfect for every celebration.,Parfait pour chaque célébration.
Explore Our Cakes,Explore Our Cakes,Découvrez Nos Gâteaux
We believe every celebration deserves a masterpiece. Our cakes are crafted with the finest ingredients and a touch of magic to make your moments unforgettable. Whether you're celebrating birthdays, anniversaries, or any special occasion, our cakes are here to add sweetness to your moments.,Nous croyons que chaque célébration mérite un chef-d'œuvre. Nos gâteaux sont confectionnés avec les meilleurs ingrédients et une touche de magie pour rendre vos moments inoubliables. Que vous célébriez des anniversaires, des mariages ou toute autre occasion spéciale, nos gâteaux ajoutent de la douceur à vos moments.
